t (s);p(0) (bar); p(L) (bar);v(0) m/s; v(L) (m/s);T(0) (C); T(L) (C);rho(0) (kg/m3); rho(L) (kg/m3);mp(0) (kg/s), mp(L) (kg/s)
0.000000e+00; 1.100000e+00; 1.100000e+00; 0.000000e+00; 0.000000e+00; 2.930000e+02; 2.930000e+02; 1.308107e+00; 1.308107e+00; 0.000000e+00; 0.000000e+00
7.099377e-04; 1.100000e+00; 1.077519e+00; 3.242188e-14; 5.060695e+00; 2.930000e+02; 2.870120e+02; 1.308107e+00; 1.308107e+00; 3.330974e-16; 5.199280e-02
1.385177e-03; 1.100000e+00; 1.077561e+00; 0.000000e+00; 5.055835e+00; 2.930000e+02; 2.870230e+02; 1.308107e+00; 1.308107e+00; 0.000000e+00; 5.194287e-02
2.056574e-03; 1.100000e+00; 1.077375e+00; 0.000000e+00; 5.066852e+00; 2.930000e+02; 2.870259e+02; 1.308107e+00; 1.307868e+00; 0.000000e+00; 5.204656e-02
2.723646e-03; 1.100000e+00; 1.076902e+00; 0.000000e+00; 5.162330e+00; 2.930000e+02; 2.869623e+02; 1.308107e+00; 1.307584e+00; 0.000000e+00; 5.301578e-02
3.389881e-03; 1.100000e+00; 1.077024e+00; 0.000000e+00; 5.133917e+00; 2.930000e+02; 2.870585e+02; 1.308107e+00; 1.307294e+00; 0.000000e+00; 5.271230e-02
4.055993e-03; 1.100000e+00; 1.076952e+00; 0.000000e+00; 5.150799e+00; 2.930000e+02; 2.871020e+02; 1.308107e+00; 1.307008e+00; 0.000000e+00; 5.287406e-02
4.722383e-03; 1.100000e+00; 1.077011e+00; 0.000000e+00; 5.137153e+00; 2.930000e+02; 2.871800e+02; 1.308107e+00; 1.306725e+00; 0.000000e+00; 5.272255e-02
5.388897e-03; 1.100000e+00; 1.076989e+00; 0.000000e+00; 5.141674e+00; 2.930000e+02; 2.872358e+02; 1.308107e+00; 1.306444e+00; 0.000000e+00; 5.275762e-02
6.054966e-03; 1.100000e+00; 1.077010e+00; 0.000000e+00; 5.136335e+00; 2.930000e+02; 2.873025e+02; 1.308107e+00; 1.306166e+00; 0.000000e+00; 5.269162e-02
6.720606e-03; 1.100000e+00; 1.077014e+00; 0.000000e+00; 5.134924e+00; 2.930000e+02; 2.873642e+02; 1.308107e+00; 1.305890e+00; 0.000000e+00; 5.266603e-02
7.385867e-03; 1.100000e+00; 1.077026e+00; 0.000000e+00; 5.131526e+00; 2.930000e+02; 2.874276e+02; 1.308107e+00; 1.305617e+00; 0.000000e+00; 5.262018e-02
8.050832e-03; 1.100000e+00; 1.077040e+00; 0.000000e+00; 5.127915e+00; 2.930000e+02; 2.874908e+02; 1.308107e+00; 1.305347e+00; 0.000000e+00; 5.257226e-02
