t (s); x (mm); v (m/s); mdot (kg/s)
0.000000e+00; 0.000000e+00; +0.000000e+00; +0.000000e+00
7.322330e-04; 0.000000e+00; +0.000000e+00; +0.000000e+00
1.464466e-03; 7.792764e-02; +2.113144e-01; +2.201314e-01
2.196699e-03; 3.068581e-01; +4.119653e-01; +8.668188e-01
2.928932e-03; 6.779642e-01; +5.992170e-01; +1.915128e+00
3.661165e-03; 1.180525e+00; +7.706370e-01; +3.334772e+00
4.393398e-03; 1.802156e+00; +9.241233e-01; +5.090774e+00
5.125631e-03; 2.529064e+00; +1.057925e+00; +7.144166e+00
5.857864e-03; 3.346306e+00; +1.170657e+00; +9.452735e+00
6.590097e-03; 4.238060e+00; +1.261311e+00; +1.197179e+01
7.322330e-03; 5.187907e+00; +1.329253e+00; +1.465495e+01
8.054563e-03; 6.179097e+00; +1.374226e+00; +1.745490e+01
8.786796e-03; 7.194830e+00; +1.396335e+00; +2.032418e+01
9.519029e-03; 8.218511e+00; +1.396038e+00; +2.321590e+01
1.025126e-02; 9.234001e+00; +1.374123e+00; +2.608450e+01
1.098349e-02; 1.000000e+01; -1.065348e+00; +2.824832e+01
1.171573e-02; 9.235668e+00; -1.019847e+00; +2.608921e+01
1.244796e-02; 8.509938e+00; -9.601369e-01; +2.403914e+01
1.318019e-02; 7.832703e+00; -8.876396e-01; +2.212607e+01
1.391243e-02; 7.212759e+00; -8.039254e-01; +2.037483e+01
1.464466e-02; 6.657708e+00; -7.106838e-01; +1.880691e+01
1.537689e-02; 6.173879e+00; -6.096923e-01; +1.744018e+01
1.610913e-02; 5.766278e+00; -5.027867e-01; +1.628878e+01
1.684136e-02; 5.438554e+00; -3.918300e-01; +1.536302e+01
1.757359e-02; 5.192991e+00; -2.786829e-01; +1.466934e+01
1.830582e-02; 5.030520e+00; -1.651750e-01; +1.421040e+01
1.903806e-02; 4.950753e+00; -5.307744e-02; +1.398507e+01
1.977029e-02; 4.952033e+00; +5.592241e-02; +1.398869e+01
2.050252e-02; 5.031507e+00; +1.602442e-01; +1.421320e+01
2.123476e-02; 5.185208e+00; +2.584352e-01; +1.464738e+01
2.196699e-02; 5.408160e+00; +3.491886e-01; +1.527719e+01
2.269922e-02; 5.694486e+00; +4.313585e-01; +1.608602e+01
2.343146e-02; 6.037536e+00; +5.039720e-01; +1.705509e+01
2.416369e-02; 6.430009e+00; +5.662383e-01; +1.816377e+01
2.489592e-02; 6.864098e+00; +6.175546e-01; +1.939000e+01
2.562815e-02; 7.331622e+00; +6.575088e-01; +2.071069e+01
2.636039e-02; 7.824169e+00; +6.858791e-01; +2.210206e+01
2.709262e-02; 8.333232e+00; +7.026312e-01; +2.354009e+01
2.782485e-02; 8.850347e+00; +7.079118e-01; +2.500086e+01
2.855709e-02; 9.367221e+00; +7.020403e-01; +2.646095e+01
2.928932e-02; 9.875855e+00; +6.854975e-01; +2.789777e+01
3.002155e-02; 1.000000e+01; -5.271304e-01; +2.824846e+01
3.075379e-02; 9.621825e+00; -5.045791e-01; +2.718017e+01
3.148602e-02; 9.262777e+00; -4.749991e-01; +2.616592e+01
3.221825e-02; 8.927750e+00; -4.390944e-01; +2.521952e+01
3.295048e-02; 8.621093e+00; -3.976426e-01; +2.435326e+01
3.368272e-02; 8.346566e+00; -3.514798e-01; +2.357776e+01
3.441495e-02; 8.107298e+00; -3.014858e-01; +2.290187e+01
3.514718e-02; 7.905764e+00; -2.485693e-01; +2.233257e+01
3.587942e-02; 7.743765e+00; -1.936523e-01; +2.187495e+01
3.661165e-02; 7.622430e+00; -1.376555e-01; +2.153220e+01
3.734388e-02; 7.542216e+00; -8.148427e-02; +2.130561e+01
3.807612e-02; 7.502928e+00; -2.601489e-02; +2.119463e+01
3.880835e-02; 7.503742e+00; +2.791776e-02; +2.119694e+01
3.954058e-02; 7.543246e+00; +7.953188e-02; +2.130853e+01
4.027281e-02; 7.619472e+00; +1.281089e-01; +2.152386e+01
4.100505e-02; 7.729957e+00; +1.730024e-01; +2.183597e+01
4.173728e-02; 7.871791e+00; +2.136458e-01; +2.223663e+01
4.246951e-02; 8.041679e+00; +2.495578e-01; +2.271654e+01
4.320175e-02; 8.236009e+00; +2.803477e-01; +2.326550e+01
4.393398e-02; 8.450915e+00; +3.057176e-01; +2.387258e+01
4.466621e-02; 8.682348e+00; +3.254638e-01; +2.452635e+01
4.539845e-02; 8.926146e+00; +3.394772e-01; +2.521504e+01
4.613068e-02; 9.178097e+00; +3.477411e-01; +2.592677e+01
4.686291e-02; 9.434014e+00; +3.503286e-01; +2.664970e+01
4.759514e-02; 9.689794e+00; +3.473980e-01; +2.737224e+01
4.832738e-02; 9.941478e+00; +3.391878e-01; +2.808321e+01
4.905961e-02; 1.000000e+01; -2.608077e-01; +2.824852e+01
4.979184e-02; 9.812905e+00; -2.496126e-01; +2.772001e+01
5.052408e-02; 9.635300e+00; -2.349417e-01; +2.721830e+01
5.125631e-02; 9.469604e+00; -2.171440e-01; +2.675024e+01
5.198854e-02; 9.317969e+00; -1.966046e-01; +2.632189e+01
5.272078e-02; 9.182252e+00; -1.737374e-01; +2.593851e+01
5.345301e-02; 9.063998e+00; -1.489783e-01; +2.560446e+01
5.418524e-02; 8.964430e+00; -1.227768e-01; +2.532320e+01
5.491747e-02; 8.884436e+00; -9.558953e-02; +2.509723e+01
5.564971e-02; 8.824572e+00; -6.787201e-02; +2.492812e+01
5.638194e-02; 8.785060e+00; -4.007225e-02; +2.481651e+01
5.711417e-02; 8.765802e+00; -1.262381e-02; +2.476211e+01
5.784641e-02; 8.766386e+00; +1.406034e-02; +2.476376e+01
5.857864e-02; 8.786111e+00; +3.959352e-02; +2.481948e+01
5.931087e-02; 8.824002e+00; +6.362039e-02; +2.492652e+01
6.004310e-02; 8.878835e+00; +8.582139e-02; +2.508142e+01
6.077534e-02; 8.949170e+00; +1.059164e-01; +2.528011e+01
6.150757e-02; 9.033374e+00; +1.236678e-01; +2.551797e+01
6.223980e-02; 9.129658e+00; +1.388824e-01; +2.578996e+01
6.297204e-02; 9.236107e+00; +1.514134e-01; +2.609067e+01
6.370427e-02; 9.350718e+00; +1.611603e-01; +2.641443e+01
6.443650e-02; 9.471428e+00; +1.680695e-01; +2.675542e+01
6.516874e-02; 9.596155e+00; +1.721333e-01; +2.710775e+01
6.590097e-02; 9.722825e+00; +1.733882e-01; +2.746558e+01
6.663320e-02; 9.849409e+00; +1.719129e-01; +2.782316e+01
6.736543e-02; 9.973948e+00; +1.678258e-01; +2.817497e+01
6.809767e-02; 1.000000e+01; -1.290252e-01; +2.824856e+01
6.882990e-02; 9.907455e+00; -1.234493e-01; +2.798713e+01
6.956213e-02; 9.819632e+00; -1.161559e-01; +2.773905e+01
